x,y,z,data
5050,450,54.9375,3.21E-02
5150,450,54.9375,3.03E-02
5250,450,54.9375,2.77E-02
5350,450,54.9375,2.53E-02
5450,450,54.9375,2.58E-02
5550,450,54.9375,2.57E-02
5650,450,54.9375,2.54E-02
5750,450,54.9375,2.64E-02
5850,450,54.9375,1.85E-02
5950,450,54.9375,3.89E-02
50,50,154.8125,0.745550036
150,50,154.8125,0.315797329
250,50,154.8125,9.34E-02
350,50,154.8125,8.87E-02
450,50,154.8125,0.119385168
550,50,154.8125,0.155080602
650,50,154.8125,0.172384083
750,50,154.8125,0.142591834
850,50,154.8125,0
950,50,154.8125,0
1050,50,154.8125,0
1150,50,154.8125,1.42733991
1250,50,154.8125,2.22723484
1350,50,154.8125,1.60053241
1450,50,154.8125,1.3850807
1550,50,154.8125,1.75235283
1650,50,154.8125,1.71007729
1750,50,154.8125,0.553021848
1850,50,154.8125,0
1950,50,154.8125,0
2050,50,154.8125,1.22827685
2150,50,154.8125,1.52162278
2250,50,154.8125,1.24875104
2350,50,154.8125,0.980463088
2450,50,154.8125,1.97771823
2550,50,154.8125,2.27999997
2650,50,154.8125,0.547997534
2750,50,154.8125,0
2850,50,154.8125,9.90E-02
2950,50,154.8125,0.26073578
3050,50,154.8125,0.257990301
3150,50,154.8125,0.222038597
3250,50,154.8125,0.205290332
3350,50,154.8125,0.211721644
3450,50,154.8125,0.229101926
3550,50,154.8125,0.224572346
3650,50,154.8125,0.124266677
3750,50,154.8125,0
3850,50,154.8125,0
3950,50,154.8125,0.895389736
4050,50,154.8125,1.33154857
4150,50,154.8125,1.22056282
4250,50,154.8125,1.26907218
4350,50,154.8125,1.58456147
4450,50,154.8125,1.50319254
4550,50,154.8125,0.5442397
4650,50,154.8125,0.142718583
4750,50,154.8125,0.275808692
4850,50,154.8125,0.201292947
4950,50,154.8125,0.125098735
5050,50,154.8125,8.26E-02
5150,50,154.8125,6.61E-02
5250,50,154.8125,5.65E-02
5350,50,154.8125,4.79E-02
5450,50,154.8125,3.96E-02
5550,50,154.8125,3.48E-02
5650,50,154.8125,3.54E-02
5750,50,154.8125,3.61E-02
5850,50,154.8125,3.24E-02
5950,50,154.8125,6.80E-02
50,150,154.8125,0.729694426
150,150,154.8125,0.253201962
