x,y,z,data
4150,50,154.8125,1.02260327
4250,50,154.8125,1.19373107
4350,50,154.8125,1.23668432
4450,50,154.8125,1.05942881
4550,50,154.8125,0.759291172
4650,50,154.8125,0.446813941
4750,50,154.8125,0.266102016
4850,50,154.8125,0.163466588
4950,50,154.8125,0.109931372
5050,50,154.8125,8.14E-02
5150,50,154.8125,5.67E-02
5250,50,154.8125,4.30E-02
5350,50,154.8125,3.14E-02
5450,50,154.8125,2.18E-02
5550,50,154.8125,1.40E-02
5650,50,154.8125,8.66E-03
5750,50,154.8125,5.75E-03
5850,50,154.8125,4.64E-03
5950,50,154.8125,4.44E-03
50,150,154.8125,0.390228212
150,150,154.8125,0.308181971
250,150,154.8125,0.166297615
350,150,154.8125,3.60E-02
450,150,154.8125,0
550,150,154.8125,0
650,150,154.8125,0
750,150,154.8125,0
850,150,154.8125,0
950,150,154.8125,0
1050,150,154.8125,3.58E-02
1150,150,154.8125,0.544760942
1250,150,154.8125,1.04620647
1350,150,154.8125,1.31405699
1450,150,154.8125,1.38380945
1550,150,154.8125,1.25154233
1650,150,154.8125,0.860702991
1750,150,154.8125,0.352211535
1850,150,154.8125,0
1950,150,154.8125,7.61E-02
2050,150,154.8125,0.46665433
2150,150,154.8125,0.912284136
2250,150,154.8125,1.22308064
2350,150,154.8125,1.39514446
2450,150,154.8125,1.47660887
2550,150,154.8125,1.26868749
2650,150,154.8125,0.757537007
2750,150,154.8125,0.306675643
2850,150,154.8125,8.70E-02
2950,150,154.8125,4.43E-02
3050,150,154.8125,6.84E-02
3150,150,154.8125,9.25E-02
3250,150,154.8125,8.82E-02
3350,150,154.8125,5.23E-02
3450,150,154.8125,3.18E-03
3550,150,154.8125,0
3650,150,154.8125,0
3750,150,154.8125,0
3850,150,154.8125,1.80E-02
3950,150,154.8125,0.391569674
4050,150,154.8125,0.815934718
4150,150,154.8125,1.11370146
4250,150,154.8125,1.29714704
4350,150,154.8125,1.33443582
4450,150,154.8125,1.15165603
4550,150,154.8125,0.779544652
4650,150,154.8125,0.456215143
4750,150,154.8125,0.260757357
4850,150,154.8125,0.164542079
4950,150,154.8125,0.112197727
5050,150,154.8125,7.39E-02
5150,150,154.8125,6.39E-02
5250,150,154.8125,4.63E-02
5350,150,154.8125,3.45E-02
5450,150,154.8125,2.40E-02
5550,150,154.8125,1.53E-02
5650,150,154.8125,9.24E-03
5750,150,154.8125,5.86E-03
5850,150,154.8125,4.84E-03
5950,150,154.8125,4.44E-03
50,250,154.8125,0.411512196
