%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
7.500000e+02 , 4.000000e+02 , 5.500000e+02 , -5.129494e-08 , 1.522923e-09 , -1.418545e-08 , 9.771856e-10 , -1.031344e-07 , 1.618015e-08 , -3.897609e-09 , -2.064963e-09 , -9.290576e-09 , 3.347259e-09 , -3.200158e-08 , 1.437181e-08
7.500000e+02 , 4.000000e+02 , 6.500000e+02 , -1.911739e-08 , -5.394805e-11 , -5.566864e-09 , 4.079272e-10 , -1.066816e-07 , 1.631959e-08 , 5.023834e-10 , -2.827856e-09 , -1.232873e-08 , 3.750306e-09 , -2.491773e-08 , 1.362137e-08
7.500000e+02 , 4.000000e+02 , 7.500000e+02 , -2.563897e-09 , -5.473546e-10 , -1.378104e-09 , 2.452921e-10 , -9.476802e-10 , 1.556803e-10 , 3.470863e-09 , -3.496316e-09 , -1.410796e-08 , 4.241890e-09 , -1.803289e-08 , 1.321913e-08
7.500000e+02 , 4.000000e+02 , 8.500000e+02 , -2.103278e-09 , 1.473031e-12 , -1.170734e-09 , 4.154416e-10 , -9.422611e-10 , 1.693357e-10 , 5.260727e-09 , -4.096493e-09 , -1.484851e-08 , 4.721325e-09 , -1.155444e-08 , 1.299586e-08
7.500000e+02 , 4.000000e+02 , 9.500000e+02 , -1.784661e-09 , 4.947434e-10 , -9.968822e-10 , 5.946848e-10 , -1.697628e-11 , 3.976818e-12 , 1.405755e-09 , -1.953837e-09 , -6.423457e-09 , 3.094706e-09 , -6.085408e-09 , 1.265027e-08
7.500000e+02 , 4.000000e+02 , 1.050000e+03 , -1.693811e-09 , 4.942100e-10 , -9.866878e-10 , 5.223080e-10 , -6.475574e-10 , 2.362837e-10 , -2.561579e-09 , 3.305449e-10 , 1.692300e-09 , 8.250818e-10 , -4.509272e-09 , 1.082753e-08
-7.500000e+02 , 6.000000e+02 , 5.000000e+01 , 1.057924e-07 , -5.442774e-09 , 2.925914e-08 , -3.782318e-09 , 1.243276e-07 , -3.914356e-10 , -6.741010e-08 , 5.995977e-09 , 1.920014e-07 , -1.170686e-08 , 2.320604e-08 , -5.246110e-09
-7.500000e+02 , 6.000000e+02 , 1.500000e+02 , 1.276027e-07 , -1.251449e-08 , 4.085366e-08 , -6.221256e-09 , 1.125892e-08 , -1.623446e-10 , -4.403539e-08 , 3.408260e-09 , 1.323426e-07 , -7.944298e-09 , 2.176223e-08 , -5.936123e-09
-7.500000e+02 , 6.000000e+02 , 2.500000e+02 , 1.300197e-07 , -1.544687e-08 , 4.219598e-08 , -7.153961e-09 , 3.254364e-09 , -3.243249e-11 , -1.547317e-09 , -2.867746e-09 , 1.302184e-08 , 4.076691e-09 , 1.962213e-08 , -5.964375e-09
-7.500000e+02 , 6.000000e+02 , 3.500000e+02 , 1.280477e-07 , -1.404886e-08 , 4.187191e-08 , -6.540016e-09 , -3.451453e-08 , 3.367361e-09 , 2.081308e-08 , -5.945395e-09 , -4.576178e-08 , 9.796314e-09 , 1.709228e-08 , -5.412734e-09
-7.500000e+02 , 6.000000e+02 , 4.500000e+02 , 1.223024e-07 , -1.202015e-08 , 4.015945e-08 , -5.611030e-09 , -4.096201e-08 , 3.512150e-09 , 2.229536e-08 , -5.534318e-09 , -4.272848e-08 , 8.280042e-09 , 1.431905e-08 , -4.877600e-09
-7.500000e+02 , 6.000000e+02 , 5.500000e+02 , 8.884244e-08 , -9.059984e-09 , 2.880897e-08 , -4.368717e-09 , -4.385998e-07 , 3.552824e-08 , 2.289971e-08 , -5.012029e-09 , -3.917025e-08 , 6.763198e-09 , 1.151954e-08 , -4.467278e-09
-7.500000e+02 , 6.000000e+02 , 6.500000e+02 , 2.832536e-08 , -5.236872e-09 , 8.166577e-09 , -2.864493e-09 , -4.405727e-07 , 3.558308e-08 , 2.273831e-08 , -4.409105e-09 , -3.499097e-08 , 5.217802e-09 , 8.840105e-09 , -4.201074e-09
-7.500000e+02 , 6.000000e+02 , 7.500000e+02 , -1.921043e-09 , -2.742599e-09 , -2.091033e-09 , -1.675379e-09 , -3.788606e-09 , 3.574539e-10 , 2.211803e-08 , -4.153767e-09 , -3.146854e-08 , 4.295594e-09 , 6.349639e-09 , -4.071861e-09
-7.500000e+02 , 6.000000e+02 , 8.500000e+02 , -2.246408e-09 , -1.532342e-09 , -2.091657e-09 , -8.132980e-10 , -3.640995e-09 , 4.093259e-10 , 2.117169e-08 , -4.018981e-09 , -2.851417e-08 , 3.614962e-09 , 4.091353e-09 , -4.019461e-09
-7.500000e+02 , 6.000000e+02 , 9.500000e+02 , -2.321639e-09 , -5.489147e-10 , -2.006184e-09 , -8.778463e-11 , -6.496221e-11 , 1.076447e-11 , 1.047922e-08 , -4.671707e-09 , -1.492807e-08 , 6.041341e-09 , 2.225103e-09 , -3.935716e-09
-7.500000e+02 , 6.000000e+02 , 1.050000e+03 , -2.070511e-09 , -3.089659e-10 , -1.832085e-09 , 3.370820e-11 , -1.263050e-09 , 3.615456e-10 , 6.431898e-10 , -4.253761e-09 , -2.818270e-09 , 6.950640e-09 , 1.621490e-09 , -3.325251e-09
-2.500000e+02 , 6.000000e+02 , 5.000000e+01 , 9.196099e-08 , -3.900856e-09 , 2.842598e-07 , 3.036646e-09 , 6.907030e-07 , -3.538448e-10 , -6.330116e-07 , 1.857086e-08 , 3.008733e-07 , -1.327310e-08 , -6.478682e-08 , 5.511849e-09
-2.500000e+02 , 6.000000e+02 , 1.500000e+02 , 1.903503e-07 , -1.422009e-08 , 4.229065e-07 , -1.933811e-08 , 4.547332e-08 , 6.920658e-11 , -4.610084e-07 , 1.626970e-08 , 2.057744e-07 , -9.460799e-09 , -5.583916e-08 , 6.718450e-09
-2.500000e+02 , 6.000000e+02 , 2.500000e+02 , 1.863452e-07 , -1.827472e-08 , 4.112077e-07 , -2.923125e-08 , 3.828471e-09 , 4.168970e-10 , -9.003131e-08 , -3.710158e-09 , 2.590339e-08 , 4.577934e-09 , -4.344708e-08 , 6.479980e-09
-2.500000e+02 , 6.000000e+02 , 3.500000e+02 , 1.547467e-07 , -1.550305e-08 , 3.496785e-07 , -2.501414e-08 , -1.681970e-07 , 8.787651e-09 , 8.631788e-08 , -1.411130e-08 , -5.952120e-08 , 1.128144e-08 , -3.184283e-08 , 5.210834e-09
-2.500000e+02 , 6.000000e+02 , 4.500000e+02 , 1.150218e-07 , -1.187142e-08 , 2.724659e-07 , -1.917505e-08 , -1.203392e-07 , 6.476699e-09 , 7.265101e-08 , -1.119830e-08 , -5.471577e-08 , 9.409306e-09 , -2.260769e-08 , 4.180360e-09
