xcent,ycent,sigma_inv
3897.000000,296.826180,3.485584
3915.000000,295.128972,3.485584
3933.000000,292.932586,3.485584
3951.000000,290.836035,3.485584
3969.000000,289.038991,3.485584
3987.000000,287.291865,3.485584
4005.000000,285.894165,3.485584
4023.000000,285.644575,3.485584
4041.000000,287.591373,3.485584
4059.000000,290.436691,3.485584
4077.000000,292.383489,3.485584
4095.000000,295.178890,3.485584
4113.000000,299.222238,3.485584
4131.000000,302.117475,3.485584
4149.000000,304.513533,3.485584
4167.000000,309.006142,3.485584
4185.000000,313.199244,3.485584
4203.000000,314.946369,3.485584
4221.000000,315.794973,3.485584
4239.000000,316.893167,3.485584
4257.000000,318.240949,3.485584
4275.000000,319.039635,3.485584
4293.000000,318.590374,3.485584
4311.000000,317.292509,3.485584
4329.000000,317.492181,3.485584
4347.000000,319.538814,3.485584
4365.000000,321.186104,3.485584
4383.000000,322.533886,3.485584
4401.000000,324.430766,3.485584
4419.000000,326.377563,3.485584
4437.000000,326.427481,3.459849
4455.000000,323.881669,3.595356
4473.000000,321.285940,3.772632
4491.000000,321.635365,3.876733
4509.000000,326.427481,3.839417
4527.000000,330.670501,3.915121
4545.000000,331.718776,3.973436
4563.000000,332.317790,3.932551
4581.000000,332.966723,3.928418
4599.000000,333.615655,3.928418
9.000000,227.576802,4.625859
27.000000,231.814954,4.625859
45.000000,236.053105,4.625859
63.000000,240.241397,4.625859
81.000000,243.432476,4.625859
99.000000,246.324391,4.625859
117.000000,249.565330,4.625859
135.000000,252.108221,4.625859
153.000000,253.753621,4.625859
171.000000,253.604039,4.625859
189.000000,251.011288,4.625859
207.000000,248.767561,4.625859
225.000000,252.257803,4.625859
243.000000,258.739682,4.625859
261.000000,264.722955,4.625859
279.000000,270.506785,4.625859
297.000000,274.346051,4.625859
315.000000,275.891730,4.625859
333.000000,274.944379,4.625859
351.000000,272.301767,4.625859
369.000000,270.357203,4.625859
387.000000,270.706227,4.625859
405.000000,272.401488,4.625859
423.000000,278.235179,4.625859
441.000000,285.215664,4.625859
459.000000,289.005070,4.625859
477.000000,291.996707,4.625859
495.000000,293.492525,4.625859
513.000000,292.993919,4.625859
531.000000,291.298658,4.625859
549.000000,289.154652,4.625859
567.000000,286.561900,4.625859
585.000000,283.520403,4.625859
603.000000,279.780858,4.625859
621.000000,275.792009,4.625859
639.000000,272.351627,4.625859
657.000000,269.160549,4.625859
675.000000,265.670306,4.625859
693.000000,261.831039,4.625859
711.000000,258.340797,4.625859
729.000000,255.249439,4.625859
747.000000,251.809057,4.625859
765.000000,247.172021,4.625859
783.000000,241.438051,4.625859
801.000000,236.751154,4.625859
819.000000,235.355057,4.625859
837.000000,236.202687,4.625859
855.000000,237.499063,4.625859
873.000000,238.845299,4.625859
891.000000,239.593208,4.625859
909.000000,239.692930,4.625859
927.000000,239.094603,4.625859
945.000000,237.449203,4.625859
963.000000,235.055894,4.625859
981.000000,233.709657,4.625859
999.000000,233.460354,4.625859
1017.000000,233.061469,4.625859
1035.000000,232.762305,4.625859
1053.000000,232.662584,4.625859
1071.000000,233.211051,4.625859
1089.000000,234.906312,4.625859
1107.000000,237.299621,4.625859
1125.000000,238.446415,4.625859
1143.000000,238.795439,4.625859
1161.000000,239.593209,4.625859
1179.000000,240.889585,4.625859
1197.000000,242.136100,4.625859
1215.000000,242.285682,4.625859
1233.000000,242.784287,4.625859
1251.000000,244.329966,4.625859
1269.000000,245.377039,4.625859
1287.000000,247.521045,4.625859
1305.000000,251.111009,4.625859
1323.000000,253.205154,4.625859
1341.000000,253.853342,4.625859
1359.000000,254.850554,4.625859
1377.000000,256.346373,4.625859
1395.000000,257.243863,4.625859
1413.000000,257.543027,4.625859
1431.000000,256.795118,4.625859
1449.000000,254.202366,4.625859
1467.000000,252.357524,4.625859
1485.000000,252.407385,4.625859
1503.000000,251.559754,4.625859
1521.000000,250.662264,4.625859
1539.000000,250.213518,4.625859
1557.000000,249.016863,4.625859
1575.000000,247.022439,4.625859
1593.000000,243.980942,4.625859
1611.000000,240.640281,4.625859
1629.000000,237.997669,4.625859
1647.000000,236.701294,4.625859
1665.000000,236.252548,4.625859
1683.000000,235.953384,4.625859
1701.000000,235.853663,4.625859
1719.000000,235.753942,4.625859
1737.000000,235.604360,4.600325
1755.000000,235.504639,4.620546
1773.000000,235.504639,4.717328
1791.000000,236.053105,4.808967
1809.000000,237.598784,4.705740
1827.000000,240.141675,4.535874
1845.000000,242.784288,4.475919
1863.000000,245.077876,4.330352
1881.000000,247.521045,4.270804
1899.000000,249.914354,4.080126
1917.000000,251.809057,3.977787
1935.000000,253.155293,3.708684
1953.000000,254.052784,3.777031
1971.000000,254.750833,3.802933
1989.000000,255.349160,3.932418
2007.000000,255.847766,3.894901
2025.000000,256.495954,3.894901
2043.000000,257.742470,3.894901
2061.000000,258.988985,3.894901
2079.000000,259.338009,3.894901
2097.000000,258.490379,3.894901
2115.000000,257.144142,3.894901
2133.000000,256.844979,3.894901
2151.000000,256.944700,3.894901
2169.000000,254.750833,3.894901
2187.000000,250.014075,3.894901
