%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
2.500000e+02 , 4.000000e+02 , 1.050000e+03 , -2.082294e-09 , 3.120718e-10 , -1.970867e-09 , -9.060507e-11 , -1.061300e-09 , 3.128016e-10 , 1.323172e-09 , -5.302691e-09 , 1.108558e-09 , 2.672331e-09 , -6.733956e-09 , 1.082680e-08
7.500000e+02 , 4.000000e+02 , 5.000000e+01 , -5.523892e-08 , -5.276908e-09 , -3.586054e-08 , 2.963471e-09 , 8.806533e-08 , -3.100176e-10 , 5.253727e-09 , -1.895020e-09 , -1.218574e-07 , 3.186164e-10 , -5.981653e-08 , 1.627940e-08
7.500000e+02 , 4.000000e+02 , 1.500000e+02 , -6.752936e-08 , -6.638149e-10 , -2.572652e-08 , 3.152770e-09 , 8.167176e-09 , -1.382647e-10 , 1.829267e-09 , -1.602328e-09 , -9.312211e-08 , 2.306104e-09 , -5.630019e-08 , 1.818470e-08
7.500000e+02 , 4.000000e+02 , 2.500000e+02 , -6.891702e-08 , 1.859083e-09 , -2.441380e-08 , 2.902823e-09 , 2.913845e-09 , -6.379980e-11 , -1.264608e-08 , -1.259209e-10 , -3.239345e-08 , 2.513715e-09 , -5.136133e-08 , 1.834064e-08
7.500000e+02 , 4.000000e+02 , 3.500000e+02 , -6.907861e-08 , 2.197744e-09 , -2.232093e-08 , 2.135058e-09 , -4.037858e-11 , 1.241300e-09 , -1.610631e-08 , -1.341817e-10 , -3.299804e-09 , 2.311744e-09 , -4.553772e-08 , 1.693970e-08
7.500000e+02 , 4.000000e+02 , 4.500000e+02 , -6.775905e-08 , 2.257757e-09 , -1.965034e-08 , 1.519145e-09 , -6.638160e-09 , 1.483826e-09 , -9.334709e-09 , -1.201756e-09 , -6.432087e-09 , 2.900432e-09 , -3.890118e-08 , 1.554082e-08
7.500000e+02 , 4.000000e+02 , 5.500000e+02 , -5.091151e-08 , 1.490687e-09 , -1.417971e-08 , 9.569491e-10 , -1.033710e-07 , 1.617718e-08 , -3.815863e-09 , -2.076389e-09 , -9.422651e-09 , 3.358440e-09 , -3.188075e-08 , 1.443799e-08
7.500000e+02 , 4.000000e+02 , 6.500000e+02 , -1.898566e-08 , -7.281064e-11 , -5.563018e-09 , 3.924814e-10 , -1.069378e-07 , 1.631734e-08 , 5.833640e-10 , -2.830500e-09 , -1.243460e-08 , 3.753111e-09 , -2.482829e-08 , 1.369372e-08
7.500000e+02 , 4.000000e+02 , 7.500000e+02 , -2.562247e-09 , -5.580215e-10 , -1.376552e-09 , 2.336544e-10 , -9.501524e-10 , 1.557379e-10 , 3.544602e-09 , -3.491302e-09 , -1.419341e-08 , 4.238959e-09 , -1.796720e-08 , 1.329468e-08
7.500000e+02 , 4.000000e+02 , 8.500000e+02 , -2.104073e-09 , -6.001854e-12 , -1.169722e-09 , 4.065573e-10 , -9.449466e-10 , 1.694610e-10 , 5.325869e-09 , -4.084579e-09 , -1.491974e-08 , 4.713755e-09 , -1.150396e-08 , 1.307143e-08
