lon,lat,grav,elev
102.50724,24.36352583,978493.399,1619.226
102.50724,24.36919542,978491.161,1625.064
102.50724,24.374865,978489.685,1628.967
102.50724,24.38053458,978484.204,1653.86
102.50724,24.38620417,978487.403,1643.827
102.50724,24.39187375,978486.793,1653.44
102.50724,24.39754333,978491.123,1649.573
102.50724,24.40321292,978491.476,1661.84
102.50724,24.4088825,978492.763,1657.04
102.50724,24.41455208,978486.942,1698.948
102.50724,24.42022167,978473.669,1764.087
102.50724,24.42589125,978473.669,1764.087
102.50724,24.43156083,978417.16,2062.109
102.50724,24.43723042,978417.16,2062.109
102.50724,24.4429,978411.081,2096.462
102.5130258,24.30683,978500.027,1634.697
102.5130258,24.31249958,978500.027,1634.697
102.5130258,24.31816917,978500.027,1634.697
102.5130258,24.32383875,978497.441,1626.561
102.5130258,24.32950833,978496.41,1628.022
102.5130258,24.33517792,978496.763,1622.259
102.5130258,24.3408475,978498.848,1618.736
102.5130258,24.34651708,978497.496,1618.693
102.5130258,24.35218667,978495.848,1619.984
102.5130258,24.35785625,978494.33,1621.42
102.5130258,24.36352583,978493.833,1622.408
102.5130258,24.36919542,978492.423,1621.212
102.5130258,24.374865,978490.955,1624.401
102.5130258,24.38053458,978490.192,1623.65
102.5130258,24.38620417,978488.996,1628.102
102.5130258,24.39187375,978489.189,1629.673
102.5130258,24.39754333,978488.979,1638.316
102.5130258,24.40321292,978486.871,1653.947
102.5130258,24.4088825,978490.13,1651.235
102.5130258,24.41455208,978492.494,1650.289
102.5130258,24.42022167,978490.976,1665.368
102.5130258,24.42589125,978490.976,1665.368
102.5130258,24.43156083,978484.748,1707.555
102.5130258,24.43723042,978484.748,1707.555
102.5130258,24.4429,978484.748,1707.555
102.5188117,24.30683,978500.027,1634.697
102.5188117,24.31249958,978500.027,1634.697
102.5188117,24.31816917,978500.027,1634.697
102.5188117,24.32383875,978500.027,1634.697
102.5188117,24.32950833,978496.354,1635.692
102.5188117,24.33517792,978499.803,1622.044
102.5188117,24.3408475,978500.18,1619.293
102.5188117,24.34651708,978498.915,1618.892
102.5188117,24.35218667,978497.408,1618.816
102.5188117,24.35785625,978495.828,1619.881
102.5188117,24.36352583,978494.367,1622.643
102.5188117,24.36919542,978492.93,1622.381
102.5188117,24.374865,978491.566,1623.995
102.5188117,24.38053458,978490.053,1625.758
102.5188117,24.38620417,978489.47,1626.544
102.5188117,24.39187375,978489.067,1627.187
102.5188117,24.39754333,978487.886,1631.516
102.5188117,24.40321292,978486.028,1648.34
102.5188117,24.4088825,978487.1,1637.109
102.5188117,24.41455208,978485.957,1651.407
102.5188117,24.42022167,978488.2,1654.861
102.5188117,24.42589125,978490.593,1662.348
102.5188117,24.43156083,978484.748,1707.555
102.5188117,24.43723042,978487.158,1682.177
102.5188117,24.4429,978487.315,1685.843
102.5245975,24.30683,978500.027,1634.697
102.5245975,24.31249958,978500.027,1634.697
102.5245975,24.31816917,978500.027,1634.697
102.5245975,24.32383875,978501.258,1631.869
102.5245975,24.32950833,978499.812,1628.769
102.5245975,24.33517792,978499.862,1625.152
102.5245975,24.3408475,978501.686,1624.572
102.5245975,24.34651708,978500.73,1621.265
102.5245975,24.35218667,978498.632,1618.984
102.5245975,24.35785625,978496.384,1622.436
102.5245975,24.36352583,978495.626,1622.484
102.5245975,24.36919542,978493.373,1623.806
102.5245975,24.374865,978492.299,1624.226
102.5245975,24.38053458,978490.57,1627.729
102.5245975,24.38620417,978490.144,1627.521
102.5245975,24.39187375,978488.952,1629.181
102.5245975,24.39754333,978488.439,1629.969
102.5245975,24.40321292,978486.601,1635.671
102.5245975,24.4088825,978486.437,1639.864
102.5245975,24.41455208,978486.385,1641.596
102.5245975,24.42022167,978487.112,1647.42
102.5245975,24.42589125,978486.574,1669.671
102.5245975,24.43156083,978486.339,1673.692
102.5245975,24.43723042,978487.878,1676.696
102.5245975,24.4429,978487.315,1685.843
102.5303833,24.30683,978499.047,1649.462
102.5303833,24.31249958,978499.047,1649.462
102.5303833,24.31816917,978499.047,1649.462
102.5303833,24.32383875,978500.184,1641.939
102.5303833,24.32950833,978499.041,1628.324
102.5303833,24.33517792,978499.964,1627.445
102.5303833,24.3408475,978502.477,1625.031
102.5303833,24.34651708,978502.477,1625.031
102.5303833,24.35218667,978498.632,1618.984
102.5303833,24.35785625,978496.384,1622.436
102.5303833,24.36352583,978496.965,1623.642
102.5303833,24.36919542,978495.002,1625.773
102.5303833,24.374865,978492.791,1625.95
102.5303833,24.38053458,978491.935,1625.708
102.5303833,24.38620417,978491.143,1627.536
102.5303833,24.39187375,978490.171,1629.647
102.5303833,24.39754333,978488.979,1630.666
102.5303833,24.40321292,978486.977,1635.333
102.5303833,24.4088825,978485.934,1638.161
102.5303833,24.41455208,978485.659,1640.887
102.5303833,24.42022167,978486.067,1645.598
102.5303833,24.42589125,978486.434,1652.044
102.5303833,24.43156083,978486.856,1657.774
102.5303833,24.43723042,978486.805,1659.925
102.5303833,24.4429,978487.961,1674.709
102.5361692,24.30683,978497.57,1656.486
102.5361692,24.31249958,978497.57,1656.486
