x,y,z,data,xderiv,yderiv,zderiv
-5000.0,-1060.6060606060605,-150.0,-6.047273182661715,-0.006590249761009917,5.9393809892397753e-05,0.008028693142746537
-5000.0,-959.5959595959594,-150.0,-6.038895589575728,-0.006590424680399078,0.00010630143378128705,0.008017170992939034
-5000.0,-858.5858585858587,-150.0,-6.025798145534182,-0.006578045374879698,0.0001528480416114772,0.00799140198157628
-5000.0,-757.575757575758,-150.0,-6.008017197330985,-0.00655319366077822,0.00019903276777048773,0.007941136562961623
-5000.0,-656.5656565656564,-150.0,-5.985589505580548,-0.0065160323569059975,0.00024484464359941826,0.007877138196444162
-5000.0,-555.5555555555557,-150.0,-5.958553632967466,-0.006466804921380345,0.0002902558239914877,0.007789709258851103
-5000.0,-454.54545454545496,-150.0,-5.926951965380248,-0.006405834622196,0.00033521603735225833,0.007689819158166612
-5000.0,-353.53535353535335,-150.0,-5.890833221381151,-0.006333523074839222,0.00037964861990556363,0.007568225748455674
-5000.0,-252.52525252525265,-150.0,-5.850255274490235,-0.006250347962557678,0.0004234483765144459,0.007436097840238505
-5000.0,-151.51515151515196,-150.0,-5.8052880948125765,-0.00615685976253098,0.0004664813770794533,0.007284530432413651
-5000.0,-50.50505050505035,-150.0,-5.7560166124539816,-0.006053677333622451,0.0005085866621981477,0.007124863398035308
-5000.0,50.50505050505035,-150.0,-5.702543314570526,-0.00594148227506806,0.0005495797056426804,0.006948396582017506
-5000.0,151.51515151515196,-150.0,-5.644990409293844,-0.005821012034383969,0.0005892573741411507,0.00676660138069736
-5000.0,252.52525252525265,-150.0,-5.583501420804637,-0.005693051819444569,0.0006274040441512857,0.00657084525158734
-5000.0,353.53535353535335,-150.0,-5.51824211754611,-0.005558425446161875,0.0006637984849231574,0.006372691101471587
-5000.0,454.54545454545496,-150.0,-5.449400716779757,-0.005417985322069153,0.0006982210981257849,0.006163440192632656
-5000.0,555.5555555555557,-150.0,-5.377187350247971,-0.005272601821349796,0.0007304611147584531,0.005954715784335797
-5000.0,656.5656565656564,-150.0,-5.3018328148083524,-0.0051231523443077635,0.00076032338577114,0.005737628911808429
-5000.0,757.575757575758,-150.0,-5.2235866662538015,-0.004970510371946938,0.0007876344580074645,0.005523847863293255
-5000.0,858.5858585858587,-150.0,-5.142714742483612,-0.004815534824252855,0.0008122476952091577,0.005304182837972876
-5000.0,959.5959595959594,-150.0,-5.059496222777204,-0.0046590600107796675,0.0008340472782956249,0.0050903520085485154
-5000.0,1060.606060606061,-150.0,-4.97422034282793,-0.0045018864273607484,0.0008529509939214882,0.004872768422179541
-5000.0,1161.6161616161617,-150.0,-4.887182890671853,-0.004344772607117419,0.0008689117903854852,0.004663227152208571
-5000.0,1262.6262626262624,-150.0,-4.798682607396519,-0.00418842818165645,0.0008819181415222774,0.004451660533002499
-5000.0,1363.636363636364,-150.0,-4.709017609556241,-0.004033508253509743,0.0008919933097699012,0.00424998995414505
-5000.0,1464.6464646464647,-150.0,-4.618481938756135,-0.0038806091270779637,0.0008991936379418881,0.00404759286224754
-5000.0,1565.6565656565654,-150.0,-4.527362329163941,-0.0037302653955212095,0.0009036060251939346,0.003856588024416907
-5000.0,1666.666666666667,-150.0,-4.435935266999785,-0.003582948337320757,0.0009053447569719258,0.00366572858847658
-5000.0,1767.6767676767677,-150.0,-4.3444643984625415,-0.003439065539966597,0.0009045478626822203,0.003487422385064942
-5000.0,1868.6868686868684,-150.0,-4.253198325043781,-0.003298961640024189,0.0009013731701321434,0.0033097281902727538
-5000.0,1969.69696969697,-150.0,-4.162368808536856,-0.0031629200487231007,0.0008959942143150186,0.003145454548446308
-5000.0,2070.7070707070707,-150.0,-4.072189392858928,-0.003031165519741116,0.0008885961417157548,0.002981889156073725
-5000.0,2171.7171717171714,-150.0,-3.982854436473067,-0.002903867410251025,0.0008793717317276692,0.0028323731164694443
-5000.0,2272.727272727273,-150.0,-3.8945385379644497,-0.002781143486583123,0.0008685176355287062,0.0026833332339823573
-5000.0,2373.7373737373737,-150.0,-3.8073963282854497,-0.0026630641309684363,0.0008562309111427427,0.002548796818405301
-5000.0,2474.7474747474744,-150.0,-3.721562596319451,-0.00254965681469942,0.0008427059124252283,0.002414219740030343
