x,z,data
   14150.0000     ,   154.924988     ,   5.38331866E-02
   14250.0000     ,   154.924988     ,   2.76951119E-03
   14350.0000     ,   154.924988     ,   0.00000000    
   14450.0000     ,   154.924988     ,   4.11102287E-02
   14550.0000     ,   154.924988     ,  0.114961520    
   14650.0000     ,   154.924988     ,   2.97119794E-03
   14750.0000     ,   154.924988     ,   9.36266854E-02
   14850.0000     ,   154.924988     ,   0.00000000    
   14950.0000     ,   154.924988     ,   8.76107514E-02
   50.0000000     ,   254.874985     ,  0.148521855    
   150.000000     ,   254.874985     ,   1.04989810E-02
   250.000000     ,   254.874985     ,   9.60122515E-03
   350.000000     ,   254.874985     ,   1.19270971E-02
   450.000000     ,   254.874985     ,  0.144124225    
   550.000000     ,   254.874985     ,  0.187654823    
   650.000000     ,   254.874985     ,   7.33883353E-03
   750.000000     ,   254.874985     ,   5.51651977E-02
   850.000000     ,   254.874985     ,   8.67455900E-02
   950.000000     ,   254.874985     ,   2.93482468E-03
   1050.00000     ,   254.874985     ,   2.94205896E-03
   1150.00000     ,   254.874985     ,  0.130311459    
   1250.00000     ,   254.874985     ,  0.136628300    
   1350.00000     ,   254.874985     ,   4.59048711E-02
   1450.00000     ,   254.874985     ,   2.58563682E-02
   1550.00000     ,   254.874985     ,   6.58142045E-02
   1650.00000     ,   254.874985     ,   1.91538446E-02
   1750.00000     ,   254.874985     ,   6.10668072E-03
   1850.00000     ,   254.874985     ,   1.07247811E-02
   1950.00000     ,   254.874985     ,   3.53885669E-04
   2050.00000     ,   254.874985     ,   0.00000000    
   2150.00000     ,   254.874985     ,   1.96383558E-02
   2250.00000     ,   254.874985     ,   8.10108855E-02
   2350.00000     ,   254.874985     ,  0.120882340    
   2450.00000     ,   254.874985     ,   1.45462938E-02
   2550.00000     ,   254.874985     ,   0.00000000    
   2650.00000     ,   254.874985     ,  0.131382108    
   2750.00000     ,   254.874985     ,  0.228140995    
   2850.00000     ,   254.874985     ,   5.60906902E-03
   2950.00000     ,   254.874985     ,   9.64956172E-03
   3050.00000     ,   254.874985     ,  0.135645524    
   3150.00000     ,   254.874985     ,   2.27696635E-02
   3250.00000     ,   254.874985     ,   1.25586253E-03
   3350.00000     ,   254.874985     ,   4.52960506E-02
   3450.00000     ,   254.874985     ,   4.45268042E-02
   3550.00000     ,   254.874985     ,   6.39486025E-05
   3650.00000     ,   254.874985     ,   9.63138789E-03
   3750.00000     ,   254.874985     ,   0.00000000    
   3850.00000     ,   254.874985     ,   1.48834493E-02
   3950.00000     ,   254.874985     ,  0.109599590    
   4050.00000     ,   254.874985     ,   2.40498725E-02
   4150.00000     ,   254.874985     ,  0.102420181    
   4250.00000     ,   254.874985     ,   0.00000000    
   4350.00000     ,   254.874985     ,   6.14917800E-02
   4450.00000     ,   254.874985     ,   7.54866675E-02
   4550.00000     ,   254.874985     ,  0.110019267    
   4650.00000     ,   254.874985     ,   5.75669575E-03
   4750.00000     ,   254.874985     ,   5.97555051E-03
   4850.00000     ,   254.874985     ,   8.42767395E-03
   4950.00000     ,   254.874985     ,   0.00000000    
   5050.00000     ,   254.874985     ,   9.85443145E-02
   5150.00000     ,   254.874985     ,   9.51175764E-02
   5250.00000     ,   254.874985     ,   7.20176771E-02
   5350.00000     ,   254.874985     ,   6.30977228E-02
   5450.00000     ,   254.874985     ,   4.64107990E-02
   5550.00000     ,   254.874985     ,   3.63009240E-05
   5650.00000     ,   254.874985     ,   0.00000000    
   5750.00000     ,   254.874985     ,   2.34053973E-02
